id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,elt_install,elt_type,oper_dba,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,carb_fuel_injection,propeller_type,subcategory_no
20200523X853491,091,NONE,PIETENPOL,AIRCAMPER,2.0,1.0,FIXD,1150.0,AIR,Y,COND,,152.0,Y,,,Y,PERS,N,IKW ,2102.0,IKW ,N,N,500.0,PLT,M,No,N,,L,1,REC,Continental Motors,A-65,65.0,HP,CARB,FIXP,6
20110213X115401,091,NONE,BUCKEYE,BREEZE LX,2.0,1.0,FIXD,500.0,PPAR,N,UNK,,,,,,Y,PERS,N,KU07,,KU07,N,N,25.0,DSTU,M,No,Y,,,1,REC,ROTAX,582,65.0,HP,CARB,,6
20170222X253141,091,NONE,MACLEOD,HOMEBUILT,1.0,1.0,FIXD,800.0,AIR,Y,COND,,,,,,Y,PERS,N,,,,N,N,271.0,PLT,M,No,Y,,4,1,REC,Continental,A-65-9,65.0,HP,CARB,FIXP,6
20110612X024571,091,NONE,Marks CA III,Kitfox II,2.0,1.0,FIXD,950.0,AIR,Y,COND,,90.0,N,,,Y,PERS,N,NA  ,2235.0,NA  ,N,N,620.0,PLT,M,No,N,,,1,REC,Rotax,582,65.0,HP,CARB,,6
20161024X401391,091,NONE,SIX CHUTER INC,LEGEND XL,2.0,1.0,FIXD,1100.0,PPAR,N,ANNL,,322.0,N,,,Y,PERS,N,X06 ,1300.0,X06 ,N,N,72.0,PLT,M,No,N,UNK ,4,1,REC,ROTAX,582 Blue Toy,65.0,HP,CARB,GRND,4
20101223X616481,091,NONE,Moyes Bailey,Microlite,2.0,1.0,FIXD,660.0,AIR,N,COND,,300.0,Y,C91,,Y,PERS,N,2S6 ,2230.0,7S9 ,N,N,154.0,PLT,M,No,N,,,1,REC,Rotax,582,65.0,HP,CARB,,4
20111212X905271,091,NONE,Shook,Rans S-12,2.0,1.0,FIXD,1100.0,AIR,Y,COND,,304.0,N,,,Y,INST,Y,KFES,2215.0,KFES,N,N,1611.5,FLTI,M,No,N,,,1,REC,Rotax,582UL,65.0,HP,CARB,,4
20130120X210321,091,NONE,QUICKSILVER,SPORT IIS,2.0,1.0,FIXD,1000.0,AIR,N,COND,,1178.0,Y,UNK,,Y,PERS,N,CMA ,2235.0,CMA ,N,N,10000.0,PLT,,No,N,,U,1,REC,ROTAX,582DCDI,65.0,HP,CARB,,4
20140908X922481,091,NONE,CISMOWSKI,TIERRA II,2.0,1.0,FIXD,800.0,AIR,Y,UNK,,,,,,Y,PERS,N,MVE ,2045.0,MVE ,N,N,150.0,PLT,,No,Y,,,1,REC,Rotax,582,65.0,HP,CARB,,1
20110918X936331,091,NONE,AERO ADVENTURE,ZEPHYR II,2.0,1.0,FIXD,655.0,AIR,N,COND,,,N,,,Y,PERS,N,SCD ,2221.0,SCD ,N,N,2500.0,PLT,M,No,Y,,,1,REC,ROTAX,582,65.0,HP,CARB,,1
20150714X314511,091,NONE,PIETENPOL,AIR CAMPER,2.0,1.0,FIXD,1200.0,AIR,Y,COND,,242.1999969482422,Y,UNK,,Y,PERS,N,BUU ,2330.0,BUU ,N,N,54.20000076293945,DSTU,,No,N,,5,1,REC,Continetnal,C-65-12,65.0,HP,CARB,FIXP,6
20131117X901001,091,NONE,RICHARD S DUNCAN,AVID FLYER,2.0,1.0,FIXD,933.0,AIR,Y,COND,3.0,150.0,Y,C91A,,Y,PERS,Y,9S3 ,2200.0,9S3 ,N,N,679.0,PLT,,No,N,CL3 ,3,1,REC,Rotax,582,65.0,HP,CARB,FIXP,6
